,.SPX
19/12/2022,3817.66
20/12/2022,3821.62
21/12/2022,3878.44
22/12/2022,3822.39
23/12/2022,3844.82
23/12/2022,3844.82
27/12/2022,3829.25
28/12/2022,3783.22
29/12/2022,3849.28
30/12/2022,3839.5
30/12/2022,3839.5
3/1/2023,3824.14
4/1/2023,3852.97
5/1/2023,3808.1
6/1/2023,3895.08
9/1/2023,3892.09
10/1/2023,3919.25
11/1/2023,3969.61
12/1/2023,3983.17
13/1/2023,3999.09
13/1/2023,3999.09
17/1/2023,3990.97
18/1/2023,3928.86
19/1/2023,3898.85
20/1/2023,3972.61
23/1/2023,4019.81
24/1/2023,4016.95
25/1/2023,4016.22
26/1/2023,4060.43
27/1/2023,4070.56
30/1/2023,4017.77
31/1/2023,4076.6
1/2/2023,4119.21
2/2/2023,4179.76
3/2/2023,4136.48
6/2/2023,4111.08
7/2/2023,4164
8/2/2023,4117.86
9/2/2023,4081.5
10/2/2023,4090.46
13/2/2023,4137.29
14/2/2023,4136.13
15/2/2023,4147.6
16/2/2023,4090.41
17/2/2023,4079.09
17/2/2023,4079.09
21/2/2023,3997.34
22/2/2023,3991.05
23/2/2023,4012.32
24/2/2023,3970.04
27/2/2023,3982.24
28/2/2023,3970.15
1/3/2023,3951.39
2/3/2023,3981.35
3/3/2023,4045.64
6/3/2023,4048.42
7/3/2023,3986.37
8/3/2023,3992.01
9/3/2023,3918.32
10/3/2023,3861.59
13/3/2023,3855.76
14/3/2023,3919.29
15/3/2023,3891.93
16/3/2023,3960.28
17/3/2023,3916.64
20/3/2023,3951.57
21/3/2023,4002.87
22/3/2023,3936.97
23/3/2023,3948.72
24/3/2023,3970.99
27/3/2023,3977.53
28/3/2023,3971.27
29/3/2023,4027.81
30/3/2023,4050.83
31/3/2023,4109.31
3/4/2023,4124.51
4/4/2023,4100.6
5/4/2023,4090.38
6/4/2023,4105.02
6/4/2023,4105.02
10/4/2023,4109.11
11/4/2023,4108.94
12/4/2023,4091.95
13/4/2023,4146.22
14/4/2023,4137.64
17/4/2023,4151.32
18/4/2023,4154.87
19/4/2023,4154.52
20/4/2023,4129.79
21/4/2023,4133.52
24/4/2023,4137.04
25/4/2023,4071.63
26/4/2023,4055.99
27/4/2023,4135.35
28/4/2023,4169.48
1/5/2023,4167.87
2/5/2023,4119.58
3/5/2023,4090.75
4/5/2023,4061.22
5/5/2023,4136.25
8/5/2023,4138.12
9/5/2023,4119.17
10/5/2023,4137.64
11/5/2023,4130.62
12/5/2023,4124.08
15/5/2023,4136.28
16/5/2023,4109.9
17/5/2023,4158.77
18/5/2023,4198.05
19/5/2023,4191.98
22/5/2023,4192.63
23/5/2023,4145.58
24/5/2023,4115.24
25/5/2023,4151.28
26/5/2023,4205.45
26/5/2023,4205.45
30/5/2023,4205.52
31/5/2023,4179.83
1/6/2023,4221.02
2/6/2023,4282.37
5/6/2023,4273.79
6/6/2023,4283.85
7/6/2023,4267.52
8/6/2023,4293.93
9/6/2023,4298.86
12/6/2023,4338.93
13/6/2023,4369.01
14/6/2023,4372.59
15/6/2023,4425.84
16/6/2023,4409.59
16/6/2023,4409.59
20/6/2023,4388.71
21/6/2023,4365.69
22/6/2023,4381.89
23/6/2023,4348.33
26/6/2023,4328.82
27/6/2023,4378.41
28/6/2023,4376.86
29/6/2023,4396.44
30/6/2023,4450.38
3/7/2023,4455.59
3/7/2023,4455.59
5/7/2023,4446.82
6/7/2023,4411.59
7/7/2023,4398.95
10/7/2023,4409.53
11/7/2023,4439.26
12/7/2023,4472.16
13/7/2023,4510.04
14/7/2023,4505.42
17/7/2023,4522.79
18/7/2023,4554.98
19/7/2023,4565.72
20/7/2023,4534.87
21/7/2023,4536.34
24/7/2023,4554.64
25/7/2023,4567.46
26/7/2023,4566.75
27/7/2023,4537.41
28/7/2023,4582.23
31/7/2023,4588.96
1/8/2023,4576.73
2/8/2023,4513.39
3/8/2023,4501.89
4/8/2023,4478.03
7/8/2023,4518.44
8/8/2023,4499.38
9/8/2023,4467.71
10/8/2023,4468.83
11/8/2023,4464.05
14/8/2023,4489.72
15/8/2023,4437.86
16/8/2023,4404.33
17/8/2023,4370.36
18/8/2023,4369.71
21/8/2023,4399.77
22/8/2023,4387.55
23/8/2023,4436.01
24/8/2023,4376.31
25/8/2023,4405.71
28/8/2023,4433.31
29/8/2023,4497.63
30/8/2023,4514.87
31/8/2023,4507.66
1/9/2023,4515.77
1/9/2023,4515.77
5/9/2023,4496.83
6/9/2023,4465.48
7/9/2023,4451.14
8/9/2023,4457.49
11/9/2023,4487.46
12/9/2023,4461.9
13/9/2023,4467.44
14/9/2023,4505.1
15/9/2023,4450.32
18/9/2023,4453.53
19/9/2023,4443.95
20/9/2023,4402.2
21/9/2023,4330
22/9/2023,4320.06
25/9/2023,4337.44
26/9/2023,4273.53
27/9/2023,4274.51
28/9/2023,4299.7
29/9/2023,4288.05
2/10/2023,4288.39
3/10/2023,4229.45
4/10/2023,4263.75
5/10/2023,4258.19
6/10/2023,4308.5
9/10/2023,4335.66
10/10/2023,4358.24
11/10/2023,4376.95
12/10/2023,4349.61
13/10/2023,4327.78
16/10/2023,4373.63
17/10/2023,4373.2
18/10/2023,4314.6
19/10/2023,4278
20/10/2023,4224.16
23/10/2023,4217.04
24/10/2023,4247.68
25/10/2023,4186.77
26/10/2023,4137.23
27/10/2023,4117.37
30/10/2023,4166.82
31/10/2023,4193.8
1/11/2023,4237.86
2/11/2023,4317.78
3/11/2023,4358.34
6/11/2023,4365.98
7/11/2023,4378.38
8/11/2023,4382.78
9/11/2023,4347.35
10/11/2023,4415.24
13/11/2023,4411.55
14/11/2023,4495.7
15/11/2023,4502.88
16/11/2023,4508.24
17/11/2023,4514.02
20/11/2023,4547.38
21/11/2023,4538.19
22/11/2023,4556.62
22/11/2023,4556.62
24/11/2023,4559.34
27/11/2023,4550.43
28/11/2023,4554.89
29/11/2023,4550.58
30/11/2023,4567.8
1/12/2023,4594.63
4/12/2023,4569.78
5/12/2023,4567.18
6/12/2023,4549.34
7/12/2023,4585.59
8/12/2023,4604.37
11/12/2023,4622.44
12/12/2023,4643.7
13/12/2023,4707.09
14/12/2023,4719.55
15/12/2023,4719.19
18/12/2023,4740.56
